path,base_bytes,base_sha256,final_bytes,final_sha256,first_read,second_pass,classification,severity,issues,disposition
.github/ISSUE_TEMPLATE/task.md,281,27e04ba6e3acf894d5fe1bac17bdcf270d17039399cc98b19d7a95dc1552ea51,281,27e04ba6e3acf894d5fe1bac17bdcf270d17039399cc98b19d7a95dc1552ea51,READ_FULL,FULL_CONTENT_STRUCTURAL_CHECK_AND_GROUP_SEMANTIC_REVIEW,OK,LOW,,RETAINED
.github/PULL_REQUEST_TEMPLATE.md,452,a2a29057490ef7bbc345c63ad5ac0c1546ebe6d0bd25c58ba847734a41f37136,452,a2a29057490ef7bbc345c63ad5ac0c1546ebe6d0bd25c58ba847734a41f37136,READ_FULL,FULL_CONTENT_STRUCTURAL_CHECK_AND_GROUP_SEMANTIC_REVIEW,OK,LOW,,RETAINED
.github/workflows/spec-governance.yml,2384,6cd745ac5cc80031cdf3857c63e2009fe7dc4ffe2e035d949128d7fcd918a290,590,48ac857b2ff2700c3aed8a1888d8713d00ecb1235b720016177ccccb2c900b58,READ_FULL,FULL_CONTENT_STRUCTURAL_CHECK_AND_GROUP_SEMANTIC_REVIEW,UNDER_SPECIFIED,HIGH,A13,HARDENED
AGENTS.md,3590,33177e8f42b89aa9f1b1745d5027f0fca0e468014797a2b2dcf521011c85c7c2,4365,cb940043c1994beedc61d70b32de45de8d1119e247b870c267cd741003e7ceef,READ_FULL,2026-09-09_FOLLOWUP_CONTENT_AND_COUNTEREXAMPLE_REVIEW,UNDER_SPECIFIED,HIGH,"A13,A22",HARDENED
CLAUDE.md,1088,8fc0b0c05aca12c2035e4847268c5b92ba77156d8d4b2abeb5a1ed22b0f6f15e,1316,2704c1724b8758d8c9aae7d1e6950f6b45ebca3e830e9d6cbca56457b67957e7,READ_FULL,2026-09-09_FOLLOWUP_CONTENT_AND_COUNTEREXAMPLE_REVIEW,OK,LOW,A22,RETAINED
CODEX.md,564,5dccb452fe8c269b68de74393c697e94817adf6a949dc5de16c87f92018d6480,792,8e5502605a1e9a6f6689615954a7cbe59427c36f2264cdebfb3ec5bdc0d5c284,READ_FULL,2026-09-09_FOLLOWUP_CONTENT_AND_COUNTEREXAMPLE_REVIEW,OK,LOW,A22,RETAINED
MANIFEST.md,1112,901cc843e83b67a5a1b195b3c1eda095e667f6a5ed4d9a088c3964778647c0f4,1839,aed3e16791f27ab2977a9f76fabaa4671fc8ff92dbb49b90487c6a5bc3f7f1f9,READ_FULL,2026-09-09_FOLLOWUP_CONTENT_AND_COUNTEREXAMPLE_REVIEW,UNDER_SPECIFIED,HIGH,A13,HARDENED
README.md,5070,bee22141f14841d40b43fb0b1204dc3bb3e8e5e737e66036d12642beb0aa75f2,5112,67f666dbdc7bd32182278a9e276f51ea6c63b8364bd3e34dfbe05b9f452cdefb,READ_FULL,2026-09-09_FOLLOWUP_CONTENT_AND_COUNTEREXAMPLE_REVIEW,UNDER_SPECIFIED,HIGH,A13,HARDENED
SPEC_VERSION,330,fef36ba1c592eca2ed2edd994008a98c0f43287c985a5aeae39b28b8fa1c68e7,332,17c0c65bc07223b18c764bc0b98b0901902af55520830b4c35f5a6312b6b13e3,READ_FULL,2026-09-09_FOLLOWUP_CONTENT_AND_COUNTEREXAMPLE_REVIEW,UNDER_SPECIFIED,HIGH,A13,HARDENED
docs/adr/ADR_0001_CANONICAL_CONTRACT_HARDENING.md,,,5163,81ec56d1c441c9e61021f73a20d7678d9ea2f9388bfabe6e5feffcc41045738f,NEW_AUTHORED_AND_REVIEWED,2026-09-09_FOLLOWUP_CONTENT_AND_COUNTEREXAMPLE_REVIEW,MISSING,HIGH,A13,HARDENED
docs/adr/ADR_TEMPLATE.md,521,a61a57c7833610ee321037ede31dd4dd7fac3fd5c2be9dada9ce6c3ae81ae0c4,521,a61a57c7833610ee321037ede31dd4dd7fac3fd5c2be9dada9ce6c3ae81ae0c4,READ_FULL,FULL_CONTENT_STRUCTURAL_CHECK_AND_GROUP_SEMANTIC_REVIEW,OK,LOW,,RETAINED
evals/BENCHMARK_RUBRIC.md,460,9dc90b7f3e846f67893f21f185ded4e382d38b20d534c6db41f0b93fde729b5c,3036,3c3a8667f1d1d7842474b689584c23901498f1c396fcbe89568dea4db5c44727,READ_FULL,FULL_CONTENT_STRUCTURAL_CHECK_AND_GROUP_SEMANTIC_REVIEW,UNDER_SPECIFIED,HIGH,"A09,A13",HARDENED
evals/GOLDEN_SCENARIOS.md,6464,7b006eb78382f236a3cc6d784efa0e78f8fcbf42851d6309fe750c4df7fe1ee8,19825,15776e71933e5c195ee277826c6dd209bc2bbf1158fe48d41bff4315214370a2,READ_FULL,2026-09-09_FOLLOWUP_CONTENT_AND_COUNTEREXAMPLE_REVIEW,UNDER_SPECIFIED,HIGH,"A09,A13",HARDENED
evals/contract_fixtures.json,,,166754,8d8fc3392b260de0933b09391b1b362285f877f497eac0dea69818eac4d8e121,NEW_AUTHORED_AND_REVIEWED,2026-09-09_FOLLOWUP_CONTENT_AND_COUNTEREXAMPLE_REVIEW,MISSING,HIGH,"A09,A13",HARDENED
evidence/AUDIT_INVENTORY.csv,,,GIT_TREE_ANCHOR,GIT_TREE_ANCHOR (self-referential report excluded from recursive hash),NEW_AUTHORED_AND_REVIEWED,2026-09-09_FOLLOWUP_CONTENT_AND_COUNTEREXAMPLE_REVIEW,MISSING,HIGH,A13,HARDENED
evidence/AUDIT_ISSUE_MATRIX.csv,,,9334,7fc4fc7f1bfb0af91bd6d5e9299ea947ef25d567d2fb582422fa64d63c32e0e0,NEW_AUTHORED_AND_REVIEWED,2026-09-09_FOLLOWUP_CONTENT_AND_COUNTEREXAMPLE_REVIEW,MISSING,HIGH,A13,HARDENED
evidence/CHINESE_AI_FILM_WORKFLOW_SYNTHESIS.md,1249,4f12a1ed0c09fe23e4e6cb1eca53d008f1239c1d3a4161bc02993d9020098256,1249,4f12a1ed0c09fe23e4e6cb1eca53d008f1239c1d3a4161bc02993d9020098256,READ_FULL,FULL_CONTENT_STRUCTURAL_CHECK_AND_GROUP_SEMANTIC_REVIEW,OK,LOW,,RETAINED
