requirement_id,requirement,canonical_spec,schemas,implementation_task,golden_scenarios,critical,status,implementation_refs,test_refs
R-001,One visible Generalist Director,spec/00_SPEC_LOCK.md,"schemas/active_context_pack.schema.json,schemas/decision_record.schema.json,schemas/event_envelope.schema.json",TASK-006,"GS01,GS03",true,NOT_STARTED,,
R-002,No niche-hardcoded pipeline,spec/00_SPEC_LOCK.md,"schemas/active_context_pack.schema.json,schemas/creative_strategy.schema.json,schemas/decision_record.schema.json,schemas/event_envelope.schema.json,schemas/style_dna.schema.json,schemas/user_taste_profile.schema.json","TASK-006,TASK-013","GS01,GS03,GS04",true,NOT_STARTED,,
R-003,Adaptive short/long/series scope,spec/03_SCOPE_AND_CONTENT_INTELLIGENCE.md,schemas/scope_decision.schema.json,TASK-007,GS05,true,NOT_STARTED,,
R-004,Evidence-first adaptive research,spec/04_ADAPTIVE_RESEARCH_INTELLIGENCE.md,"schemas/creative_evidence_graph.schema.json,schemas/evidence_pack.schema.json,schemas/research_evidence.schema.json,schemas/research_plan.schema.json,schemas/research_roi_decision.schema.json","TASK-011,TASK-012","GS04,GS06,GS25",true,NOT_STARTED,,
R-005,Reference roles and smallest sufficient pack,spec/06_REFERENCE_INTELLIGENCE.md,"schemas/artifact.schema.json,schemas/asset_ingestion_record.schema.json,schemas/character.schema.json,schemas/content_safety_decision.schema.json,schemas/reference_binding.schema.json","TASK-008,TASK-009","GS02,GS03",true,NOT_STARTED,,
R-006,Project Canon source of truth,spec/07_PROJECT_CANON_AND_SERIES_MEMORY.md,"schemas/active_context_pack.schema.json,schemas/episode_snapshot.schema.json,schemas/project_canon.schema.json",TASK-016,GS05,true,NOT_STARTED,,
R-007,Character knowledge state,spec/08_CHARACTER_RELATIONSHIP_KNOWLEDGE_STATE.md,"schemas/character.schema.json,schemas/relationship_edge.schema.json",TASK-015,GS05,true,NOT_STARTED,,
R-008,Voice identity separated from language,spec/09_DIALOGUE_VOICE_LOCALIZATION.md,"schemas/dialogue_scene.schema.json,schemas/voice_profile.schema.json",TASK-017,"GS07,GS11,GS17",true,NOT_STARTED,,
R-009,Performance blocking camera editorial intelligence,spec/10_PERFORMANCE_CAMERA_AUDIO_EDITORIAL.md,"schemas/dialogue_scene.schema.json,schemas/universal_video_spec.schema.json",TASK-018,"GS03,GS07,GS13",true,NOT_STARTED,,
R-010,Adaptive generation length,spec/11_PRODUCTION_STRATEGY_AND_SCENE_COMPLEXITY.md,schemas/generation_plan.schema.json,TASK-020,"GS03,GS04,GS13",true,NOT_STARTED,,
R-011,Dependent shots sequential,spec/12_CONTINUITY_DEPENDENCY_SCHEDULER.md,"schemas/artifact_dependency.schema.json,schemas/generation_plan.schema.json,schemas/job.schema.json",TASK-021,"GS03,GS09",true,NOT_STARTED,,
R-012,Continuity Baton,spec/12_CONTINUITY_DEPENDENCY_SCHEDULER.md,schemas/continuity_baton.schema.json,TASK-022,"GS03,GS05",true,NOT_STARTED,,
R-013,Selective keyframes,spec/13_SELECTIVE_KEYFRAME_EXTERNAL_WORKFLOW.md,"schemas/decision_record.schema.json,schemas/keyframe_generation_pack.schema.json",TASK-023,"GS14,GS16",true,NOT_STARTED,,
R-014,External keyframes,spec/13_SELECTIVE_KEYFRAME_EXTERNAL_WORKFLOW.md,"schemas/artifact.schema.json,schemas/keyframe_generation_pack.schema.json,schemas/paid_attempt.schema.json",TASK-024,GS08,true,NOT_STARTED,,
R-015,UniversalVideoSpec,spec/14_UNIVERSAL_VIDEO_SPEC.md,"schemas/reference_binding.schema.json,schemas/universal_video_spec.schema.json",TASK-025,"GS03,GS04",true,NOT_STARTED,,
R-016,ModelProfile separate from ProviderProfile with claim-local evidence promotion,spec/15_MODEL_INTELLIGENCE_AND_PROMPT_COMPILERS.md,"schemas/effective_capability.schema.json,schemas/model_profile.schema.json,schemas/paid_attempt.schema.json,schemas/provider_profile.schema.json","TASK-026,TASK-028",GS15,true,NOT_STARTED,,
R-017,Model-specific prompt compilers,spec/15_MODEL_INTELLIGENCE_AND_PROMPT_COMPILERS.md,"schemas/model_profile.schema.json,schemas/reference_binding.schema.json,schemas/universal_video_spec.schema.json",TASK-027,GS03,true,NOT_STARTED,,
R-018,No silent capability degrade,spec/16_PROVIDER_ABSTRACTION_ROUTING.md,"schemas/degrade_decision.schema.json,schemas/effective_capability.schema.json",TASK-029,"GS15,GS20",true,NOT_STARTED,,
R-019,Shot versioning and user revision,spec/17_SHOT_REVISION_VERSIONING.md,"schemas/artifact_dependency.schema.json,schemas/continuity_baton.schema.json,schemas/revision_request.schema.json,schemas/shot_version.schema.json","TASK-035,TASK-036","GS09,GS21",true,NOT_STARTED,,
R-020,No silent paid media regeneration,spec/18_COST_SPEND_ATTEMPT_POLICY.md,"schemas/cost_estimate.schema.json,schemas/paid_attempt.schema.json,schemas/qa_report.schema.json,schemas/spend_authorization.schema.json","TASK-033,TASK-034","GS09,GS10,GS24",true,NOT_STARTED,,
R-021,Paid timeout reconciliation,spec/18_COST_SPEND_ATTEMPT_POLICY.md,"schemas/cost_estimate.schema.json,schemas/paid_attempt.schema.json,schemas/spend_authorization.schema.json",TASK-033,"GS10,GS24",true,NOT_STARTED,,
R-022,Current Stale Missing Blocked artifact currency,spec/21_JOBS_ARTIFACT_DEPENDENCY_GRAPH.md,"schemas/artifact.schema.json,schemas/artifact_dependency.schema.json,schemas/shot_version.schema.json",TASK-004,"GS09,GS11,GS21",true,NOT_STARTED,,
R-023,Chat-first progressive UX,spec/20_CHAT_FIRST_WORKSPACE_UX.md,"schemas/event_envelope.schema.json,schemas/project_intent.schema.json,schemas/revision_request.schema.json","TASK-005,TASK-041","GS08,GS09",true,NOT_STARTED,,
R-024,Cost per accepted second,spec/18_COST_SPEND_ATTEMPT_POLICY.md,"schemas/cost_estimate.schema.json,schemas/model_profile.schema.json,schemas/paid_attempt.schema.json,schemas/provider_profile.schema.json,schemas/qa_report.schema.json,schemas/spend_authorization.schema.json","TASK-033,TASK-031",GS04,true,NOT_STARTED,,
R-025,User taste and outcome learning,spec/22_OUTCOME_TASTE_RESEARCH_MEMORY.md,"schemas/decision_record.schema.json,schemas/research_evidence.schema.json,schemas/user_taste_profile.schema.json",TASK-038,"GS01,GS09",true,NOT_STARTED,,
R-026,Director plane separated from durable production plane,spec/29_RUNTIME_ORCHESTRATION.md,"schemas/active_context_pack.schema.json,schemas/decision_record.schema.json,schemas/event_envelope.schema.json,schemas/job.schema.json,schemas/paid_attempt.schema.json","TASK-006,TASK-032","GS03,GS10",true,NOT_STARTED,,
R-027,Durable resumable job state,spec/29_RUNTIME_ORCHESTRATION.md,"schemas/event_envelope.schema.json,schemas/job.schema.json,schemas/paid_attempt.schema.json",TASK-032,"GS10,GS24",true,NOT_STARTED,,
